,refCount,postCount,changeCount,commitCount,smellCount,hasSmell,LOC,Nesting,WMC,DIT,NOC,CBO,RFC,LCOM,ADD,ADDING_ATTRIBUTE_MODIFIABILITY,ADDING_CLASS_DERIVABILITY,ADDING_METHOD_OVERRIDABILITY,ADDITIONAL_CLASS,ADDITIONAL_FUNCTIONALITY,ADDITIONAL_OBJECT_STATE,ALTERNATIVE_PART_DELETE,ALTERNATIVE_PART_INSERT,ATTRIBUTE_RENAMING,ATTRIBUTE_TYPE_CHANGE,CLASS_RENAMING,COMMENT_DELETE,COMMENT_INSERT,COMMENT_MOVE,COMMENT_UPDATE,CONDITION_EXPRESSION_CHANGE,DECREASING_ACCESSIBILITY_CHANGE,DELETE,DOC_DELETE,DOC_INSERT,DOC_UPDATE,METHOD_RENAMING,MODIFY,PARAMETER_DELETE,PARAMETER_INSERT,PARAMETER_ORDERING_CHANGE,PARAMETER_RENAMING,PARAMETER_TYPE_CHANGE,PARENT_CLASS_CHANGE,PARENT_CLASS_DELETE,PARENT_CLASS_INSERT,PARENT_INTERFACE_CHANGE,PARENT_INTERFACE_DELETE,PARENT_INTERFACE_INSERT,REMOVED_CLASS,REMOVED_FUNCTIONALITY,REMOVED_OBJECT_STATE,REMOVING_ATTRIBUTE_MODIFIABILITY,REMOVING_CLASS_DERIVABILITY,REMOVING_METHOD_OVERRIDABILITY,RETURN_TYPE_CHANGE,RETURN_TYPE_DELETE,RETURN_TYPE_INSERT,STATEMENT_DELETE,STATEMENT_INSERT,STATEMENT_ORDERING_CHANGE,STATEMENT_PARENT_CHANGE,STATEMENT_UPDATE,UNCLASSIFIED_CHANGE,ForwardEngineering,ReEngineering,CorrectiveEngineering,Management,usageCount,refDensity,postDensity
ADDING_METHOD_OVERRIDABILITY,0.0829370388983523,0.0808538538072668,0.148554347256645,0.14241353486189,0.0451875301751223,0.0457252940520591,0.108282295951728,0.110306788144633,0.102569270902568,0.0355660737891227,0.0708891782616874,0.124290139067953,0.106901069490344,0.132500000684509,-0.0261434455644489,0.0804220225992185,0.0225187608772192,1,0.0655821918108146,0.150661892096328,0.143830959974068,0.103160319979764,0.115036960947549,0.163279751051667,0.176587339991566,-0.0189297933404757,0.113079345235465,0.169289653183164,0.126093797788457,0.097619616414788,0.127921306223586,0.100744999934097,0.00273068821632365,0.0833651216726447,0.122622091010928,0.168619274407405,0.16872436144916,0.140680558250964,0.155551583692215,0.179811830297366,0.180759963405442,0.131964377922644,0.131485691303811,-0.0113303588774719,0.130644528464253,-0.0170861448507989,0.142445851672296,0.0226784642999401,0.0315413228024286,0.123253944269433,0.12805014978882,0.143803000854434,0.140687603941341,-0.00894319347990521,0.406876445249289,0.201967053110837,0.0667510799205996,0.057927902664453,0.141914472817095,0.13915428341995,0.136662162018383,0.132090770373761,0.130697905284023,0.154306312154408,0.138089707698949,0.147442820171095,0.149214187812852,0.150075454014404,0.018366936805732,0.0656825298125737,0.0601341867939117
ADDITIONAL_CLASS,0.14699354719984,0.1231597969837,0.426688713645463,0.380210698017554,0.153675346913652,0.155363461430615,0.355626480229964,0.260255386848883,0.308330728800389,-0.0264356572260477,0.000184667853569993,0.347771203125293,0.211892711881206,0.308386662837089,-0.00342089534971438,0.260667096528243,0.194448277001583,0.0655821918108146,1,0.441003553979709,0.479696582596224,0.367678123373139,0.391052084158746,0.401533810320951,0.357534478004221,0.282701160331638,0.406353168409966,0.430637811514235,0.400313777330351,0.365390198219824,0.412939102588876,0.351424891050742,-0.0102236088848303,0.380714861430908,0.289962196027836,0.36508505650814,0.43529301537273,0.382689876944342,0.416107842045912,0.389191025164467,0.310146539850022,0.328555802261437,0.331853733049926,0.112952623090861,0.0999478854538859,0.127939282722313,0.109699442752487,0.164015117536094,0.116175007181697,0.650591949663377,0.406463808939459,0.424623609761507,0.233199830348103,0.0183990494599794,0.0882284494383359,0.268375714071095,0.299367143071986,0.269218130003729,0.415629179347432,0.425434324949611,0.368547670712314,0.398301981876948,0.401685445655448,0.336481600645796,0.417136695313481,0.420458698220841,0.393038604520589,0.420196192426144,0.105875644161464,0.0686158080136865,0.0290540530150591
ADDITIONAL_FUNCTIONALITY,0.33949261101064,0.315723313109035,0.711434441832202,0.655293378278405,0.236632007875293,0.236794167962326,0.527596309733152,0.348409147575151,0.514228623481817,-0.0317291584308391,0.0305546455632401,0.492429394359672,0.349164476578603,0.422428329186729,0.0358167227666953,0.317675689046909,0.204842233509235,0.150661892096328,0.441003553979709,1,0.693412174088713,0.540403284427877,0.545052135704862,0.486169287195256,0.374321239200214,0.18452639703126,0.565251735222588,0.581049458626872,0.465440620520714,0.396843637728581,0.579745503357135,0.473334777584446,-0.0296669179896415,0.465228288837409,0.379079062562345,0.573735895332686,0.582250066717689,0.659839005334905,0.603385024773856,0.588881232747271,0.323005496077827,0.419544186469242,0.322839027675003,0.133520147376762,0.177087086924382,0.207821077124461,0.146770913971343,0.149882551081112,0.199376449149225,0.464740677760799,0.675104772251049,0.613079771041682,0.307277751772166,0.0683596530329715,0.139276416025771,0.351750456669342,0.332881131116268,0.286882045966975,0.643268450494206,0.66760712456646,0.484795068046035,0.566875088594594,0.630175550034665,0.435556957204245,0.686947204785103,0.709674524503073,0.655835170447893,0.704310436486258,0.187249071983476,0.20180732483484,0.145447252413421
ADDITIONAL_OBJECT_STATE,0.251946419652301,0.234259901749533,0.703713512476034,0.636425115890555,0.217739649416164,0.217758342792705,0.503815526313891,0.351119916181562,0.442352472368196,-0.0540888231434278,-0.00103544356292694,0.469293182923734,0.283976789232253,0.451253905170041,0.00452003781456661,0.328046379313093,0.169002749621728,0.143830959974068,0.479696582596224,0.693412174088713,1,0.515892669051239,0.544174041184773,0.638439619052054,0.405476012552755,0.182869863215987,0.554387878649362,0.587042426975993,0.445673250896352,0.374651792850192,0.566651108806089,0.487052804517248,0.00506351717027096,0.468810598402798,0.387825154790289,0.56718662895736,0.535129508309196,0.641097316200291,0.566055192914619,0.539807192463049,0.30163729166903,0.375432677856061,0.281690258453605,0.142450842720712,0.169899842929601,0.143072262951059,0.0686399576943358,0.102209583001498,0.15411959422595,0.478355522015036,0.617220331363569,0.726953584797856,0.313341035257385,0.069106922890327,0.127605734375983,0.360377357858135,0.31698875602645,0.279828707455933,0.647998180204952,0.684920710006512,0.510220891028399,0.560697888103292,0.635522091694771,0.439174002679746,0.690241657110947,0.692952135560168,0.650051434384523,0.69763729196219,0.167730678557182,0.114022396319617,0.0693207408970565
ALTERNATIVE_PART_DELETE,0.354898365008289,0.336553143590831,0.689245541494127,0.624620015720875,0.339544459103467,0.338588923798486,0.634786661601721,0.545271125840477,0.608262508340562,0.00161623000648407,0.030883848160473,0.59196749724064,0.390173593734304,0.447216505876224,-0.055210062592412,0.25644117853553,0.0759678332052125,0.103160319979764,0.367678123373139,0.540403284427877,0.515892669051239,1,0.718182270589698,0.449506537222878,0.348336823091912,0.101351460165603,0.700694580281962,0.611729751251449,0.565238031294291,0.492719761771547,0.69496865611851,0.417161402543535,0.0860302408687705,0.401951074443093,0.328082309393423,0.472180126445444,0.454236066425319,0.628849408480945,0.491948230341487,0.448062294877549,0.200077294893238,0.361046834123923,0.258516328556444,0.0822401191439825,0.144213129604039,0.133231953350688,0.113942990013235,0.158784410479224,0.132595836647299,0.434945832787031,0.621010021498621,0.606315279728061,0.280666131772685,-0.0215456782731836,0.147014821884516,0.275617866610676,0.342781922953362,0.288354208199586,0.73941050830408,0.673319903123667,0.600546012473367,0.776908964463537,0.67584120310095,0.300652801638952,0.647603888896884,0.671387058153917,0.673609017631343,0.673485089640103,0.273869238012224,0.109382883364452,0.059228748603849
ALTERNATIVE_PART_INSERT,0.284846293390589,0.267729946753638,0.646946844021886,0.565334206641381,0.277436302719478,0.277034450410654,0.516139595293287,0.465121336016831,0.49834767516341,0.0161711026375418,0.0417891962782647,0.495932637155285,0.322512000221752,0.397202484584617,-0.0295208395676371,0.279988768568577,0.0736627995750724,0.115036960947549,0.391052084158746,0.545052135704862,0.544174041184773,0.718182270589698,1,0.460940440643721,0.33804537553419,0.114983190545519,0.665762297621354,0.676426125099821,0.540761761673132,0.504804972566246,0.63030782380994,0.396769429902348,0.068497107476293,0.393050632306967,0.331906149081087,0.46124326748011,0.466671949131195,0.566612002908925,0.473011355116898,0.482538113761192,0.241811616620692,0.371507060195692,0.25069981402663,0.111450614696629,0.145786865814173,0.127925381840161,0.0730611059717758,0.0880753158868788,0.0945986002132131,0.429313618650007,0.544204242170456,0.540710122829933,0.270076628142026,-0.0138613767681329,0.133077614721636,0.31390417868601,0.361977615463966,0.286985148102881,0.649972164854796,0.70288740666477,0.589959518887396,0.674269339605212,0.613657510986203,0.340966289579075,0.612620998771405,0.642820225214318,0.614963718875191,0.638799640281568,0.202046521474876,0.116288059340854,0.0719955845309473
ATTRIBUTE_RENAMING,0.210207803830842,0.189362510645019,0.586646999287027,0.560592559981085,0.190722439028015,0.191877122091101,0.469696686890079,0.315980324377223,0.406341757107523,-0.0856349648997342,-0.047642291814753,0.400160559238303,0.243484740225001,0.43093380863471,0.0317507093302566,0.316753591020238,0.12965095346361,0.163279751051667,0.401533810320951,0.486169287195256,0.638439619052054,0.449506537222878,0.460940440643721,1,0.429848499447293,0.177721477768196,0.449160123136287,0.47566830288756,0.404849741954612,0.332880541003445,0.488569759124167,0.401015192027606,-0.026689041373536,0.448641453274405,0.390450492606174,0.5409657484678,0.554949110499947,0.562056036081216,0.516384017767892,0.479504934206455,0.310669434027047,0.401638475920814,0.260065912721052,0.0703978949929335,0.205185925596458,0.1082828186114,0.0902832801894366,0.0956799832830668,0.0863971746291526,0.455978446360597,0.550422577196756,0.646935718173101,0.343570265145113,0.0625566091290743,0.144490992243437,0.399370030543713,0.332839295372268,0.29812408156826,0.538353899311851,0.524005328457129,0.48849643130731,0.486159814300602,0.546980451924306,0.355738863815482,0.575751741692362,0.588832403973606,0.550077299686369,0.581155602546352,0.227873822674792,-0.00419824969778316,-0.0453484708206483
ATTRIBUTE_TYPE_CHANGE,0.164680717426899,0.155050660106906,0.423332142392477,0.385291724999539,0.114858446017265,0.111970867722862,0.348169976639456,0.287640921107578,0.320813674554214,-0.019216695063851,0.0134487746587426,0.344941756331708,0.199819385314653,0.270094525155419,0.0240096817950639,0.281247105981968,0.110844284204608,0.176587339991566,0.357534478004221,0.374321239200214,0.405476012552755,0.348336823091912,0.33804537553419,0.429848499447293,1,0.301154495009274,0.384604930213252,0.419129785528014,0.409729065250642,0.340676218636512,0.41688454290461,0.342542751313589,-0.036488753627167,0.280221463533398,0.265514504308464,0.339002821799255,0.420347123241416,0.387321883204308,0.388332443380303,0.374698941565593,0.288680852543838,0.234053351873784,0.402947566430511,0.105080911426901,0.14636639641287,0.16786960342961,0.211747738598808,0.187467029640566,0.100701976637145,0.445986726937256,0.39632958486357,0.408635546110628,0.240450383951059,-0.0261350362112378,0.131208646662183,0.403568515241088,0.311059770391108,0.249026978733204,0.432040509826659,0.429545180718518,0.389848678123054,0.412820613105058,0.444634740851428,0.32583685742052,0.418943819079786,0.416753562220171,0.396937919374406,0.419583189764593,0.160046539919698,0.0367230010446536,0.00884306403845342
CLASS_RENAMING,0.0476605873984636,0.0369669806014434,0.186055893977793,0.1600347845903,0.0507630908481094,0.0514046909689198,0.17427201433861,0.105030095093918,0.120870517954584,0.0365099751530542,-0.000650434510706963,0.150752887791852,0.102442890027868,0.128634986786506,0.0856896477313645,0.0603258333640244,0.221339242154064,-0.0189297933404757,0.282701160331638,0.18452639703126,0.182869863215987,0.101351460165603,0.114983190545519,0.177721477768196,0.301154495009274,1,0.165259395935254,0.206699155497155,0.0999845026807043,0.230052946889041,0.197146545961075,0.12257215614561,-0.065654848170557,0.17566469804639,0.0915520346602006,0.147800483377255,0.181650360028745,0.159700388467213,0.234821326059256,0.238954935055503,0.128720954981924,0.0981831521079799,0.240214371726445,0.062486273657553,0.0956285623208,0.230281671524284,0.2342172652499,0.125715582430643,0.0961344035123347,0.298464798121122,0.174903007545539,0.198594263398827,0.100667160382556,-0.0112587940995488,0.0251755866500968,0.112709350366078,0.120555970877885,0.232050806844365,0.186163588419371,0.156027617618391,0.182642194214678,0.143944617504186,0.187776627073017,0.0849704070714528,0.17249351587829,0.173594527307622,0.172250330409446,0.187440959291728,-0.0100447014307512,0.0668149607267697,0.0457765726887346
COMMENT_DELETE,0.32632643140996,0.302497145903736,0.717766523803623,0.657401976316723,0.299594007514394,0.299799341071595,0.606098789818163,0.545053328814154,0.587345787617741,0.024900779760749,0.0245004317281952,0.594670874233034,0.387326844150329,0.452768026238279,-0.0468060107796007,0.30793116573565,0.155167718265535,0.113079345235465,0.406353168409966,0.565251735222588,0.554387878649362,0.700694580281962,0.665762297621354,0.449160123136287,0.384604930213252,0.165259395935254,1,0.775188046283632,0.607240949104791,0.563290320060437,0.692613228384572,0.427554438632796,0.0753096648896106,0.432159516506684,0.373256676804281,0.504458593010662,0.480057469129065,0.66150520181892,0.505778314756366,0.502026447663601,0.262959567210114,0.400152225140597,0.28411675101402,0.147721735061099,0.123820706209335,0.148266564104761,0.0985534666088142,0.114674153406747,0.130206765837272,0.430277333057721,0.607216003846335,0.606790251599962,0.301962672014547,-0.0299061620349948,0.146916274552273,0.290420562690267,0.334969980414187,0.276456955275128,0.746646454062174,0.733248854412099,0.62521146339261,0.739241612983462,0.725896032262974,0.348644306469785,0.669458482125174,0.698815498007043,0.694804450882973,0.704238598888245,0.236229258211842,0.12114190924534,0.0673455796703908
COMMENT_INSERT,0.324770957287244,0.305981505532089,0.700394678707298,0.619936833826097,0.291490123123867,0.291355055904851,0.550414693701511,0.484353149399762,0.538224923066361,0.0233516028008872,0.0152664394104446,0.544014633288858,0.371331745376866,0.460740312296872,-0.0212237407443529,0.326642304982808,0.111458137712355,0.169289653183164,0.430637811514235,0.581049458626872,0.587042426975993,0.611729751251449,0.676426125099821,0.47566830288756,0.419129785528014,0.206699155497155,0.775188046283632,1,0.611850739916189,0.562508761520572,0.677601718068921,0.428183502658592,0.0718110176032641,0.43142821749526,0.364341689370531,0.513689859742576,0.510228185907076,0.620149393421266,0.505391352160217,0.547730228597748,0.27249194436673,0.42391413565682,0.293753682904975,0.151212075295244,0.153018731451796,0.163114078741981,0.10969124037108,0.0954707247990759,0.1103571694251,0.449806380594107,0.589347203050037,0.601486468368335,0.297763735574332,-0.0199139888622193,0.165321259066399,0.33155947259068,0.352591497215274,0.243578457474255,0.710859316254438,0.748049067433111,0.606046324113894,0.694222382443127,0.681886080004713,0.352284259596335,0.657506651618245,0.686124775916845,0.669523564725659,0.687594272488122,0.200065952078076,0.159656465884874,0.110063055733216
COMMENT_MOVE,0.264921092774145,0.24649796177324,0.534184553126303,0.49640048657451,0.264854288510251,0.264599128692489,0.476991237028024,0.420217387870032,0.453075430389234,0.0440312138603102,0.0843198391262665,0.475588369835384,0.310630291129747,0.3885361478585,-0.0383228767557961,0.258365269580398,0.117544037437399,0.126093797788457,0.400313777330351,0.465440620520714,0.445673250896352,0.565238031294291,0.540761761673132,0.404849741954612,0.409729065250642,0.0999845026807043,0.607240949104791,0.611850739916189,1,0.577661359322506,0.583830051528457,0.384007150000504,0.040698809000285,0.384679375684443,0.309680355505583,0.380317899785433,0.454798297362552,0.498162329039933,0.429780166934294,0.3943105763253,0.216953076282616,0.366427794145183,0.285590542948597,0.195308423058339,0.145485679654377,0.0958838405706173,0.14637864632202,0.13858733354489,0.121069870569296,0.458715494413332,0.486183319263013,0.468933212204591,0.288181562320466,-0.030160684199694,0.150035840088992,0.249019251594571,0.337213987251031,0.312897313047626,0.5539890659986,0.5438280654369,0.591155056477859,0.609660399188936,0.538071092722379,0.300688419676939,0.513441997614711,0.531581798754398,0.520604911506941,0.527946455037538,0.239229105589809,0.0515969001200055,0.00283427860095493
COMMENT_UPDATE,0.236901447685113,0.224642594588113,0.462339125163465,0.42543770890383,0.235122998469464,0.235805772806759,0.388827929736432,0.34668794128901,0.38014363309862,0.100624457193206,0.0661904461837528,0.353204097637561,0.26995417476585,0.299416181967768,-0.0026271883408045,0.281928046319829,0.0804000023948311,0.097619616414788,0.365390198219824,0.396843637728581,0.374651792850192,0.492719761771547,0.504804972566246,0.332880541003445,0.340676218636512,0.230052946889041,0.563290320060437,0.562508761520572,0.577661359322506,1,0.525988809151954,0.300315918223018,0.0317882406584908,0.289328985751609,0.313649885741273,0.335359584435736,0.345081921786518,0.426439845907591,0.360670521640301,0.376665851531059,0.207620934433205,0.287995158491215,0.214704633444651,0.181217880717139,0.151838984284302,0.167746935311735,0.11408861585317,0.103801237059079,0.124696539331666,0.36181170845737,0.400724209375838,0.384456459261799,0.30807909019822,-0.0268067403435159,0.134000095650508,0.192147598156662,0.340284908951032,0.294084035844907,0.481039280703393,0.466785892318937,0.520639463187221,0.48298170393044,0.473876032718278,0.292879232436007,0.429929986559496,0.453399114725543,0.446315237754135,0.457380456770361,0.165360984833982,0.105063798614624,0.068467698656047
CONDITION_EXPRESSION_CHANGE,0.318506474405064,0.30125244862671,0.724698712210365,0.656334703243914,0.309551400334395,0.309344639470347,0.651302405318634,0.565283637123425,0.619757979371582,0.0418566983894636,0.0172704666921621,0.597164244566088,0.403035090457195,0.480251350277637,-0.0384875726545709,0.336797099324074,0.149445494067681,0.127921306223586,0.412939102588876,0.579745503357135,0.566651108806089,0.69496865611851,0.63030782380994,0.488569759124167,0.41688454290461,0.197146545961075,0.692613228384572,0.677601718068921,0.583830051528457,0.525988809151954,1,0.41481908324423,0.0382111931268644,0.430006356226459,0.323633096285656,0.501925386201302,0.496413467379788,0.660719950659055,0.536972939580286,0.486211592834118,0.253198993515063,0.377890624945767,0.319157037287411,0.119038631791146,0.140334342903704,0.097230903476032,0.0909152224664429,0.100605333210005,0.124802304848711,0.466424939030332,0.640098300386993,0.610939269709373,0.292838654441181,-0.0257998567548923,0.145451872374151,0.319120899926755,0.315710305486117,0.271990035517226,0.74707092261594,0.730992201684632,0.623406106289446,0.770584895162675,0.721400790188278,0.323608381025633,0.691064081202351,0.705489709659468,0.712854348732757,0.710018867258898,0.200523905571428,0.155274755061565,0.10654967275681
DECREASING_ACCESSIBILITY_CHANGE,0.231882995669782,0.21363832640025,0.498452889590767,0.471644847767244,0.210736336484148,0.212174921208974,0.402521026666116,0.273295254104,0.359082408935927,-0.0652609064349704,0.0930833114843282,0.338683056213137,0.22025712195201,0.361205826780589,-0.00314925346202711,0.218226117680752,0.088917168110722,0.100744999934097,0.351424891050742,0.473334777584446,0.487052804517248,0.417161402543535,0.396769429902348,0.401015192027606,0.342542751313589,0.12257215614561,0.427554438632796,0.428183502658592,0.384007150000504,0.300315918223018,0.41481908324423,1,0.00682709927999845,0.486235563035516,0.355561863440945,0.43098681636104,0.429034842019374,0.474226039760612,0.443444773442163,0.385232011826678,0.242030521825758,0.268745703360587,0.263962160388451,0.0969638178693157,0.194191532002652,0.136138640092351,0.114231010101386,0.0933272169011651,0.0987473168794195,0.412219649674195,0.483386497816113,0.474234913836274,0.2525625646173,0.057874167467091,0.111257324536818,0.271324204550924,0.261299114264914,0.280927631944676,0.472998329710346,0.481828527973833,0.358950094559005,0.441159815160827,0.460561658119908,0.369192177316617,0.491274727425014,0.500619105576803,0.4708627977828,0.488655547603495,0.192642065254068,0.0469958262726445,0.00517758244897915
DELETE,0.255524295487114,0.264136503359984,0.0137423787843155,0.0174853621632247,0.0242566071364786,0.024410303051624,0.0136623388964946,0.0258975682636431,0.037943960456908,0.116639883101486,0.182122921092621,0.0182744704314446,0.058797512330995,-0.0209545979888329,-0.78477984648295,0.0434889324312281,-0.101858441491879,0.00273068821632365,-0.0102236088848303,-0.0296669179896415,0.00506351717027096,0.0860302408687705,0.068497107476293,-0.026689041373536,-0.036488753627167,-0.065654848170557,0.0753096648896106,0.0718110176032641,0.040698809000285,0.0317882406584908,0.0382111931268644,0.00682709927999845,1,-0.0470578727423741,-0.0311377527825055,-0.112234769803431,-0.105221074909445,0.046697612704353,-0.0426731784089996,-0.0620949485113555,-0.0703582565857058,-0.0143497400995377,-0.0799173324732152,-0.042031867310097,0.00307102941079012,-0.0402127390971832,-0.00463678291094787,0.00712265122193522,-0.0357351873364576,-0.019314451557463,0.0370778046183233,0.0460500373149257,0.0110874631139626,-0.0874877172399325,0.0523539294531364,-0.0750065468264264,-0.0475688818546954,-0.00696769232408749,0.0653361316341881,0.0548182254192698,0.0473322998596654,0.0966901578249886,0.0211555789940618,-0.0260940117119271,-0.0310838035173006,-0.0523992446576172,0.0157821896033085,-0.00654533559945545,0.391683837471274,-0.147658062675868,-0.153178074547701
DOC_DELETE,0.225129492168178,0.207742726883468,0.577777696678999,0.554013490107042,0.182836946939447,0.183492227994264,0.436841444410143,0.289739956143813,0.390454339463973,-0.0704479387452289,0.0408842792840186,0.372006053890373,0.226251856028755,0.399381088003203,0.071068751891789,0.253388050870659,0.181631797138371,0.0833651216726447,0.380714861430908,0.465228288837409,0.468810598402798,0.401951074443093,0.393050632306967,0.448641453274405,0.280221463533398,0.17566469804639,0.432159516506684,0.43142821749526,0.384679375684443,0.289328985751609,0.430006356226459,0.486235563035516,-0.0470578727423741,1,0.420915483426113,0.519384038398654,0.465797916926329,0.555580647718506,0.471116103135427,0.425574179336404,0.240234280700195,0.36780014870635,0.256342174269863,0.033272965862809,0.147433374371777,0.125643212305371,0.0829919221542534,0.0968018120148087,0.0901693753757483,0.415316825472189,0.536119982091191,0.522618444672094,0.234465542850609,0.0235567228112765,0.0591816042941578,0.273111820542739,0.287655365137932,0.217809133031506,0.504145047098227,0.484877701973272,0.357664700848858,0.460704414627451,0.487994417226792,0.27763335066717,0.541487129168113,0.574398656815376,0.529917695364636,0.577229340577461,0.126416184814372,0.131999889169386,0.0881939383249006
DOC_INSERT,0.144883266972611,0.129594298651994,0.411144379988874,0.366032840998983,0.148359744653781,0.150078934063283,0.317638195262557,0.219143443719721,0.290140289512758,-0.0332038143709819,0.0192467287745742,0.270482236208828,0.179798005879748,0.256683809329892,0.0237475768034223,0.23665076793484,0.218000091927721,0.122622091010928,0.289962196027836,0.379079062562345,0.387825154790289,0.328082309393423,0.331906149081087,0.390450492606174,0.265514504308464,0.0915520346602006,0.373256676804281,0.364341689370531,0.309680355505583,0.313649885741273,0.323633096285656,0.355561863440945,-0.0311377527825055,0.420915483426113,1,0.341266828173005,0.420330798052791,0.36681820178437,0.358424488992671,0.406950518777064,0.294514267108988,0.314603817494699,0.246625614503278,0.0735998747301892,0.143028728564271,0.161039822300982,0.0749314438583247,0.0764642273028487,0.0665028858765865,0.301551960544621,0.374275367379198,0.36888655180926,0.29472367608988,-0.0278619030887194,0.12778035603605,0.254338419818718,0.337594447298657,0.243937534279882,0.368657037170294,0.387221174850762,0.334005857583153,0.344700309465131,0.392179772904004,0.330116496637182,0.398613180001185,0.420936205338771,0.376599158923629,0.412584504505491,0.0935609393917867,0.0743958555919758,0.0454962345784401
