Timestamp,Haben Sie schon mal eine Android App geschrieben?,Seit wievielen Jahren programmieren Sie Android Apps?,Seit wievielen Jahren programmieren Sie in Java?,Entwickeln Sie Android Apps beruflich? ,Entwickeln Sie Android Apps privat? ,Benutzen Sie die Q&A Seite Stack Overflow?,Benutzen Sie Tags für Ihre Suche auf Stack Overflow?,"Wenn ja, benutzen Sie diese Seite aktiv?",Benutzen Sie Tags um Ihre Posts auf Stack Overflow zu klassifizieren?,Haben Sie schon einmal einen neuen Tag angelegt?,"Wussten Sie, dass es auf Stack Overflow Synonyme für Tags gibt?",Bitte wählen Sie mögliche Synonyme ,Bitte wählen Sie mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,Wählen Sie bitte mögliche Synonyme,Wählen Sie bitte mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,Bitte wählen Sie mögliche Synonyme,
1/16/2015 15:13:04,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,automated-testing,decompiling,keine der Möglichkeiten passt,case-sensitivity,datetime-operation,method,design-patterns,keine der Möglichkeiten passt,spring,name-conflict,
1/16/2015 16:23:54,Ja,Seit 1-3 Jahren,Seit 1-3 Jahren,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,automated-testing,decompiling,interoperability,case-sensitive,keine der Möglichkeiten passt,keine der Möglichkeiten passt,design-patterns,keine der Möglichkeiten passt,spring-tool-suite,keine der Möglichkeiten passt,
1/16/2015 18:00:15,Ja,Seit < 1 Jahr,Seit 1-3 Jahren,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,automated-testing,decompiling,f#-interactive,case-sensitivity,dates,methods,design-patterns,recurrence,spring,canonical,
1/18/2015 10:21:10,Ja,Seit 1-3 Jahren,Seit 1-3 Jahren,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,automated-testing,decompiling,keine der Möglichkeiten passt,case-sensitivity,date,method,design-patterns,recurrence,spring,naming-conventions,
1/18/2015 10:22:57,Nein,Seit < 1 Jahr,Seit > 3 Jahren,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,keine der Möglichkeiten passt,decompiling,f#-interactive,keine der Möglichkeiten passt,datepicker,class-method,repositories,recurrence,spring,strong-name,
1/18/2015 10:46:57,Ja,Seit < 1 Jahr,Seit 1-3 Jahren,Nein,Nein,Ja,Ja,Nein,Nein,Nein,Nein,keine der Möglichkeiten passt,decompiling,keine der Möglichkeiten passt,case-sensitive,datetime-functions,method,design-patterns,returning,spring-framework,namespacing,
1/18/2015 11:00:59,Ja,Seit 1-3 Jahren,Seit > 3 Jahren,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Ja,automated-testing,decompiling,interface,keine der Möglichkeiten passt,datetime-functions,methods,repositories,recurrence,spring,keine der Möglichkeiten passt,
1/18/2015 11:01:24,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,automated-tests,decompiling,keine der Möglichkeiten passt,keine der Möglichkeiten passt,datetime-functions,methods,keine der Möglichkeiten passt,recurrence,spring,keine der Möglichkeiten passt,
1/18/2015 11:17:20,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,automatic-ref-counting,decompiling,inheritence,ci,date,static-methods,factory-pattern,recurrence,spring-el,canonical,
1/18/2015 12:14:45,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,automated-tests,decompiling,f#-interactive,case-sensitivity,string-comparison,methods,repositories,keine der Möglichkeiten passt,spring,canonical,
1/18/2015 12:27:03,Nein,Seit < 1 Jahr,Seit > 3 Jahren,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,keine der Möglichkeiten passt,decouple,interoperability,ci,validate,method,frp,keine der Möglichkeiten passt,keine der Möglichkeiten passt,strong-name,
1/18/2015 13:14:14,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Nein,Ja,Ja,Nein,Nein,Nein,Nein,Nein,automated-testing,compiler,interfaces,case-sensitive,datetime-functions,method,keine der Möglichkeiten passt,keine der Möglichkeiten passt,keine der Möglichkeiten passt,name-conflict,
1/18/2015 16:32:00,Ja,Seit 1-3 Jahren,Seit 1-3 Jahren,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,automated-testing,decompiling,f#-interactive,case-sensitive,keine der Möglichkeiten passt,method,keine der Möglichkeiten passt,keine der Möglichkeiten passt,spring-framework,named-entity-recognition,
1/18/2015 17:16:20,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Ja,automated-testing,decompiling,f#-interactive,case-sensitivity,datetime-functions,class-method,repositories,recurrence,spring,canonical,
1/18/2015 20:30:49,Ja,Seit 1-3 Jahren,Seit > 3 Jahren,Nein,Nein,Ja,Nein,Nein,Nein,Nein,Nein,automatic-ref-counting,decompiling,interoperability,case-sensitivity,datetime-operation,virtual-methods,design-patterns,keine der Möglichkeiten passt,keine der Möglichkeiten passt,canonical,
1/19/2015 8:28:44,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,automated-testing,decompiling,interface,keine der Möglichkeiten passt,datetime-functions,methods,repositories,recurrence,spring-tool-suite,keine der Möglichkeiten passt,
1/19/2015 8:46:34,Ja,Seit < 1 Jahr,Seit > 3 Jahren,Ja,Nein,Ja,Ja,Nein,Ja,Nein,Nein,keine der Möglichkeiten passt,compiler,f#-interactive,keine der Möglichkeiten passt,datetime-operation,methods,design-patterns,recurrence,keine der Möglichkeiten passt,naming-conventions,
1/19/2015 9:26:17,Ja,Seit > 3 Jahren,Seit > 3 Jahren,Ja,Ja,Ja,Nein,Nein,Nein,Nein,Nein,keine der Möglichkeiten passt,decompiling,keine der Möglichkeiten passt,case-sensitivity,date,class-method,design-patterns,keine der Möglichkeiten passt,spring,namespace,
1/19/2015 10:28:18,Ja,Seit 1-3 Jahren,Seit > 3 Jahren,Nein,Ja,Ja,Nein,Ja,Ja,Nein,Nein,keine der Möglichkeiten passt,decompiling,interoperability,case-sensitivity,datetime-operation,class-methods,repositories,recurrence,spring-framework,canonical,
1/19/2015 10:31:59,Nein,Seit < 1 Jahr,Seit > 3 Jahren,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,automated-testing,decompiling,keine der Möglichkeiten passt,ci,datetime-operation,method,repositories,recurrence,keine der Möglichkeiten passt,strong-name,
